id,category,rule,priority,description,applies_to,check_method
interaction-01,interaction,Hover states on all clickable elements,8,Cursor change + visual feedback. Users must know what is clickable.,desktop,Hover over links/buttons/cards
interaction-02,interaction,Transition duration 150-300ms for micro-interactions,7,Too fast = jarring. Too slow = sluggish. Sweet spot is 200ms.,animated,Check transition-duration values
interaction-03,interaction,Scroll behavior is smooth,6,smooth-scroll for anchor links. Not for general page scroll.,anchor-links,Click anchor links and check scroll
interaction-04,interaction,No auto-playing media with sound,10,Extremely annoying. Browsers block it anyway. Never do this.,media-sites,Check for autoplay with audio
interaction-05,interaction,Feedback on user actions within 100ms,9,Every click/tap needs immediate visual response. No dead clicks.,interactive,Click buttons and measure response time
trust-07,trust,Testimonials with real names and photos,7,Anonymous reviews feel fake. Real attribution builds credibility.,business;landing,Check testimonials for names and images
trust-08,trust,Clear pricing without hidden costs,8,Unexpected costs at checkout cause abandonment. Be transparent.,e-commerce;saas,Check pricing page for clarity
mobile-07,mobile,Bottom sheet menus for mobile actions,6,Bottom sheets are more thumb-friendly than dropdown menus on mobile.,mobile-apps,Check action menus on mobile viewport
content-07,content,Meaningful link text not click here,8,Screen readers and SEO need descriptive link text.,all,Search for generic link text patterns
content-08,content,Error messages explain how to fix the problem,9,Not just what went wrong but what to do about it.,all-forms;apps,Trigger errors and read messages
a11y-08,accessibility,Language attribute on HTML element,8,Screen readers need lang attribute to pronounce correctly.,all,Check html element for lang attribute
a11y-09,accessibility,Form inputs have associated labels,10,Every input needs a label element or aria-label. Click label to focus.,all-forms,Click labels and check focus behavior
perf-07,performance,Total page weight under 1.5MB on initial load,8,Heavy pages lose mobile users. Optimize assets aggressively.,all,Check total transfer size in DevTools
layout-06,layout,Z-index values follow a defined scale,7,Random z-index leads to stacking bugs. Use a scale: 10 20 30 40 50.,complex-layouts,Check z-index values for consistency
conversion-07,conversion,Exit intent or scroll-depth engagement,5,Capture leaving users with relevant offer. Not intrusive popups.,landing;e-commerce,Scroll 75% or move to close tab
interaction-06,interaction,Disabled states are visually distinct,8,Disabled elements must look different from active ones. opacity-50 + cursor-not-allowed.,forms;apps,Check disabled button appearance
