id,name,description,mood_tags,best_for,tailwind_essence,pair_with_palettes,avoid_when
pastel-soft,Pastel Soft,Muted soft colors gentle aesthetic,gentle;approachable;calm;friendly,childcare;wellness;bakery;lifestyle,"bg-pink-50 text-gray-700 rounded-2xl border-pink-100",pastel-spring;pastel-ocean;pastel-sunset,corporate;industrial;tech;finance
luxury-minimal,Luxury Minimal,High-end minimalism with premium feel,exclusive;refined;premium;aspirational,fashion;watches;real-estate-luxury;fine-dining,"bg-white text-gray-900 font-serif tracking-wide border-b border-gray-200",luxury-gold;luxury-black;champagne,budget;casual;playful
data-dense,Data Dense,Information-rich compact efficient layouts,efficient;professional;systematic,dashboards;analytics;admin-panels;trading,"text-sm font-mono bg-gray-50 border border-gray-200 rounded p-2",neutral-data;cool-gray;dark-dashboard,marketing;creative;editorial
playful-rounded,Playful Rounded,Large border-radius cheerful feel,fun;friendly;approachable;casual,apps;children;food;social,"rounded-3xl bg-gradient-to-br shadow-lg font-medium",playful-primary;candy;tropical,corporate;legal;finance;medical
high-contrast,High Contrast,Maximum contrast for impact and accessibility,bold;accessible;clear;impactful,a11y-focused;posters;signage;seniors,"bg-black text-white font-bold text-lg",high-contrast-bw;yellow-black,subtle;pastel;soft
split-screen,Split Screen,Two-panel layouts for comparison or duality,dramatic;modern;storytelling,portfolio;before-after;comparison;agency,"grid grid-cols-2 h-screen",any-contrasting-pair,mobile-first;data-heavy;multi-section
hero-centric,Hero Centric,Full-viewport hero sections as primary element,dramatic;immersive;bold,landing-pages;product-launch;agency;events,"min-h-screen flex items-center justify-center bg-cover bg-center",any-palette-with-overlay,content-heavy;documentation;dashboard
card-based,Card Based,Content organized in modular card units,organized;scannable;flexible,e-commerce;blog;portfolio;directory,"rounded-xl shadow-sm border bg-white p-6 hover:shadow-md transition",any-neutral-base,narrative;editorial;single-focus
bento-grid,Bento Grid,Asymmetric grid inspired by bento box layouts,modern;dynamic;interesting,portfolio;agency;feature-showcase;dashboard,"grid grid-cols-4 grid-rows-3 gap-4 [&>*:nth-child(1)]:col-span-2 [&>*:nth-child(1)]:row-span-2",any-modern-palette,text-heavy;traditional;simple
scroll-story,Scroll Story,Scroll-driven storytelling with transitions,immersive;narrative;engaging,case-studies;annual-reports;product-stories;brand,"snap-y snap-mandatory h-screen overflow-y-scroll",any-dramatic-palette,utility;dashboard;e-commerce
kinetic-typography,Kinetic Typography,Text as the primary visual and motion element,bold;expressive;artistic,creative-agency;events;music;fashion,"text-7xl font-black animate-pulse tracking-tighter",monochrome;bold-contrast,data-heavy;conservative;documentation
utility-first,Utility First,Clean functional no-frills practical design,practical;efficient;trustworthy,saas;tools;documentation;internal,"bg-white border rounded-lg p-4 text-sm text-gray-600 shadow-sm",neutral-clean;professional-blue,creative;luxury;editorial
soft-ui,Soft UI,Gentle shadows rounded shapes muted colors,approachable;modern;calm,wellness-apps;productivity;lifestyle;personal-finance,"bg-gray-50 rounded-2xl shadow-sm border-0 p-6",soft-neutral;pastel-soft;warm-gray,bold;industrial;dramatic
geometric,Geometric,Strong geometric shapes and angular layouts,structured;modern;confident,architecture;engineering;tech;design-agency,"clip-path-polygon bg-primary rotate-3 skew-y-1",any-bold-palette,organic;handmade;vintage
watercolor,Watercolor,Soft blended colors mimicking watercolor art,artistic;soft;creative;romantic,wedding;florist;art-gallery;stationery,"bg-gradient-to-br from-pink-200/60 via-purple-100/40 to-blue-200/60",watercolor-romance;pastel-garden;blush,corporate;tech;industrial
grain-texture,Grain Texture,Subtle film grain noise texture overlay,vintage;authentic;artisanal,photography;coffee;craft;artisan,"before:bg-[url('/grain.svg')] before:opacity-20 before:fixed before:inset-0",retro-warm;film-noir;craft-brown,clean;minimal;corporate
frosted-card,Frosted Card,Individual cards with glass effect on clean bg,modern;clean;layered,saas;portfolio;pricing;features,"bg-white/70 backdrop-blur-sm border border-white/50 rounded-2xl shadow-lg",any-light-base,dark-mode;minimal;text-heavy
asymmetric,Asymmetric,Intentionally unbalanced layouts for visual interest,creative;dynamic;memorable,agency;portfolio;fashion;architecture,"grid grid-cols-5 [&>:first-child]:col-span-3 [&>:last-child]:col-span-2",any-bold-palette,conservative;dashboard;documentation
oversized-type,Oversized Type,Extra large typography as design element,bold;confident;modern,agency;fashion;events;branding,"text-8xl lg:text-9xl font-black leading-none tracking-tighter",monochrome;bold-contrast,data-dense;conservative;multi-content
whitespace-heavy,Whitespace Heavy,Generous spacing as intentional design choice,premium;calm;focused,luxury;architecture;gallery;high-end,"py-32 px-8 space-y-24 max-w-xl mx-auto",any-minimal-palette,e-commerce;dashboard;content-heavy
illustration-led,Illustration Led,Custom illustrations as primary visual language,unique;friendly;brand-specific,startups;saas;education;children,"flex items-center gap-12 [&_img]:w-1/2 [&_img]:rounded-2xl",any-friendly-palette,photography-based;minimal;corporate
photography-led,Photography Led,Full-bleed photography as primary design element,immersive;emotional;authentic,travel;food;real-estate;fashion,"bg-cover bg-center relative [&_*]:relative [&_*]:z-10 before:absolute before:inset-0 before:bg-black/40",any-with-overlay,text-heavy;dashboard;documentation
responsive-fluid,Responsive Fluid,Fluid typography and spacing using clamp,modern;adaptive;seamless,content-sites;blogs;marketing;multi-device,"text-[clamp(1rem,2.5vw,2rem)] p-[clamp(1rem,3vw,3rem)]",any-clean-palette,fixed-layout;pixel-perfect
sticky-sections,Sticky Sections,Sections that stick during scroll for reveal effects,modern;interactive;storytelling,product-pages;case-studies;timelines,"sticky top-0 h-screen flex items-center",any-contrasting-sections,simple;utility;mobile-first
layered-depth,Layered Depth,Multiple overlapping layers creating depth,rich;modern;premium,saas;agency;product;creative,"relative z-10 -mt-8 rounded-2xl shadow-xl bg-white",any-with-depth-contrast,flat;minimal;utility
accent-border,Accent Border,Colored borders as primary decorative element,structured;clean;professional,corporate;consulting;saas;documentation,"border-l-4 border-primary pl-4 py-2",any-professional,organic;playful;artistic
dot-grid,Dot Grid,Subtle dot pattern backgrounds for texture,technical;modern;structured,tech;saas;documentation;developer,"bg-[radial-gradient(circle,#e5e7eb_1px,transparent_1px)] bg-[size:20px_20px]",neutral-clean;tech-blue;developer-dark,luxury;organic;vintage
